"filename", "language", "JavaScript", "XML", "JavaScript JSX", "Markdown", "CSS", "JSON", "comment", "blank", "total"
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\App.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 4, 4, 33
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\assets\AlertIcon.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\assets\alertIcon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\assets\index.js", "JavaScript", 138, 0, 0, 0, 0, 0, 12, 11, 161
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\assets\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Alert.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 4, 17
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Backdrop\Backdrop.jsx", "JavaScript JSX", 0, 0, 23, 0, 0, 0, 2, 3, 28
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Backdrop\Backdrop.styles.css", "CSS", 0, 0, 0, 0, 240, 0, 21, 34, 295
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardGrid\CardGrid.jsx", "JavaScript JSX", 0, 0, 441, 0, 0, 0, 58, 44, 543
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardGrid\styles.css", "CSS", 0, 0, 0, 0, 204, 0, 15, 40, 259
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardGrid\utils.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 1, 4
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardManager\CardManager.jsx", "JavaScript JSX", 0, 0, 193, 0, 0, 0, 0, 14, 207
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardManager\CardManagerCraft.jsx", "JavaScript JSX", 0, 0, 55, 0, 0, 0, 145, 14, 214
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardManager\styles.css", "CSS", 0, 0, 0, 0, 96, 0, 19, 20, 135
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Card\Card.jsx", "JavaScript JSX", 0, 0, 80, 0, 0, 0, 31, 13, 124
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Card\OldCard.jsx", "JavaScript JSX", 0, 0, 35, 0, 0, 0, 0, 8, 43
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Card\SimpleImgCard.jsx", "JavaScript JSX", 0, 0, 14, 0, 0, 0, 0, 4, 18
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\Card\simpleImgCard.css", "CSS", 0, 0, 0, 0, 91, 0, 1, 17, 109
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\CyberRestaurantActionMenu.jsx", "JavaScript JSX", 0, 0, 5, 0, 0, 0, 0, 3, 8
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\CyberRestaurantActionMenu.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\CyberTechStoreActionMenu.jsx", "JavaScript JSX", 0, 0, 520, 0, 0, 0, 74, 32, 626
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\CyberTechStoreActionMenu.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\THAMCategory\THAMCategory.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 3, 7, 71
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\THAMCategory\THAM_Item.jsx", "JavaScript JSX", 0, 0, 21, 0, 0, 0, 1, 4, 26
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\THAMCategory\townHallActionMenuStyles.js", "JavaScript", 37, 0, 0, 0, 0, 0, 11, 2, 50
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\TownHallActionMenu.jsx", "JavaScript JSX", 0, 0, 762, 0, 0, 0, 176, 72, 1010
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\TownHallActionMenu.styles.css", "CSS", 0, 0, 0, 0, 10, 0, 0, 2, 12
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\townHallActionMenuStyles.js", "JavaScript", 37, 0, 0, 0, 0, 0, 11, 2, 50
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\Buildings\TownHallActionMenu\utilityFunctions.js", "JavaScript", 31, 0, 0, 0, 0, 0, 24, 11, 66
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardActionMenu.jsx", "JavaScript JSX", 0, 0, 336, 0, 0, 0, 77, 32, 445
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardActionMenu.styles.css", "CSS", 0, 0, 0, 0, 32, 0, 30, 7, 69
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardOnMap.jsx", "JavaScript JSX", 0, 0, 32, 0, 0, 0, 9, 6, 47
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardOnMap.styles.css", "CSS", 0, 0, 0, 0, 43, 0, 72, 6, 121
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardsCluster.jsx", "JavaScript JSX", 0, 0, 78, 0, 0, 0, 39, 20, 137
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\CardsCluster.styles.css", "CSS", 0, 0, 0, 0, 21, 0, 8, 4, 33
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\REGs\WindTurbineActionMenu.jsx", "JavaScript JSX", 0, 0, 219, 0, 0, 0, 8, 16, 243
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\REGs\WindTurbineActionMenu.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\SE\WorkaholismActiomMenu.jsx", "JavaScript JSX", 0, 0, 6, 0, 0, 0, 0, 3, 9
"f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\components\CardsOnMapManger\SE\WorkaholismActiomMenu.styles.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
