Date : 2023-03-24 21:46:40
Directory : f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src
Total : 115 files,  11765 codes, 2670 comments, 1499 blanks, all 15934 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JavaScript JSX |         53 |      7,351 |      1,703 |        898 |      9,952 |
| JavaScript     |         31 |      2,026 |        703 |        288 |      3,017 |
| CSS            |         21 |      1,987 |        263 |        299 |      2,549 |
| JSON           |          5 |        312 |          0 |          5 |        317 |
| Markdown       |          2 |         46 |          0 |          9 |         55 |
| XML            |          3 |         43 |          1 |          0 |         44 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        115 |     11,765 |      2,670 |      1,499 |     15,934 |
| . (Files)                                                                                                                                                                      |          3 |        277 |         25 |         27 |        329 |
| assets                                                                                                                                                                         |          4 |        160 |         12 |         15 |        187 |
| components                                                                                                                                                                     |         67 |      7,199 |      1,504 |        899 |      9,602 |
| components (Files)                                                                                                                                                             |          3 |        100 |         55 |         26 |        181 |
| components\Backdrop                                                                                                                                                            |          2 |        263 |         23 |         37 |        323 |
| components\Card                                                                                                                                                                |          4 |        220 |         32 |         42 |        294 |
| components\CardGrid                                                                                                                                                            |          3 |        648 |         73 |         85 |        806 |
| components\CardManager                                                                                                                                                         |          3 |        344 |        164 |         48 |        556 |
| components\CardsOnMapManger                                                                                                                                                    |         21 |      2,251 |        543 |        233 |      3,027 |
| components\CardsOnMapManger (Files)                                                                                                                                            |          6 |        542 |        235 |         75 |        852 |
| components\CardsOnMapManger\Buildings                                                                                                                                          |         11 |      1,484 |        300 |        137 |      1,921 |
| components\CardsOnMapManger\Buildings (Files)                                                                                                                                  |          4 |        525 |         74 |         37 |        636 |
| components\CardsOnMapManger\Buildings\TownHallActionMenu                                                                                                                       |          7 |        959 |        226 |        100 |      1,285 |
| components\CardsOnMapManger\Buildings\TownHallActionMenu (Files)                                                                                                               |          4 |        840 |        211 |         87 |      1,138 |
| components\CardsOnMapManger\Buildings\TownHallActionMenu\THAMCategory                                                                                                          |          3 |        119 |         15 |         13 |        147 |
| components\CardsOnMapManger\REGs                                                                                                                                               |          2 |        219 |          8 |         17 |        244 |
| components\CardsOnMapManger\SE                                                                                                                                                 |          2 |          6 |          0 |          4 |         10 |
| components\CatButton                                                                                                                                                           |          2 |        123 |          2 |         14 |        139 |
| components\GameBtn                                                                                                                                                             |          2 |         74 |          9 |          8 |         91 |
| components\GameView                                                                                                                                                            |          1 |         95 |         14 |         15 |        124 |
| components\Inventory                                                                                                                                                           |          4 |        391 |         85 |         32 |        508 |
| components\Modal                                                                                                                                                               |          8 |      1,581 |        343 |        213 |      2,137 |
| components\NavBar                                                                                                                                                              |          4 |        579 |        103 |         70 |        752 |
| components\SimpleCustom                                                                                                                                                        |          3 |         40 |          0 |         11 |         51 |
| components\SpeedDial                                                                                                                                                           |          1 |         69 |         30 |         13 |        112 |
| components\Web3                                                                                                                                                                |          1 |         88 |          2 |         14 |        104 |
| components\WorldMap                                                                                                                                                            |          3 |        295 |         21 |         33 |        349 |
| components\anotherBtn                                                                                                                                                          |          2 |         38 |          5 |          5 |         48 |
| context                                                                                                                                                                        |         14 |      2,607 |        454 |        262 |      3,323 |
| context (Files)                                                                                                                                                                |          3 |        470 |         18 |         17 |        505 |
| context\playerContext                                                                                                                                                          |         11 |      2,137 |        436 |        245 |      2,818 |
| hooks                                                                                                                                                                          |          2 |         18 |          2 |         12 |         32 |
| models                                                                                                                                                                         |         13 |      1,025 |        537 |        177 |      1,739 |
| models\Classes                                                                                                                                                                 |          9 |        850 |        504 |        143 |      1,497 |
| models\Factories                                                                                                                                                               |          4 |        175 |         33 |         34 |        242 |
| myAssets                                                                                                                                                                       |          4 |         42 |          7 |         10 |         59 |
| myAssets (Files)                                                                                                                                                               |          1 |         21 |          5 |          3 |         29 |
| myAssets\mapCardRepresentationImages                                                                                                                                           |          1 |          5 |          0 |          2 |          7 |
| myAssets\maps                                                                                                                                                                  |          2 |         16 |          2 |          5 |         23 |
| myAssets\maps (Files)                                                                                                                                                          |          1 |         12 |          1 |          3 |         16 |
| myAssets\maps\mapSelection                                                                                                                                                     |          1 |          4 |          1 |          2 |          7 |
| pages                                                                                                                                                                          |          4 |        234 |         96 |         57 |        387 |
| styles                                                                                                                                                                         |          1 |         86 |         32 |         19 |        137 |
| utils                                                                                                                                                                          |          3 |        117 |          1 |         21 |        139 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                       | language       | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| f:\Programming\GENERA\Game\JavaScript_Edition_Current\js-vite-react-game\src\App.jsx                                                                                           | JavaScript JSX |         25 |          4 |          4 |         33 |
